"Name","Company","Country","LaunchCost","Weight","Thrust","WTRatio","Velocity"
"Antares
(aka Taurus II)","Northrup Grumman","United States","$85 M","657,000","1,656,200","0.396691220867045","133,490"
"Ariane 5","Arianespace","France","$185 M","1,713,000","3,534,100","0.484706148665856","163,108"
"Astra Rocket 3","Astra Space","United States","$2.5 M","24,251","31,473","0.770533473135704","259,292"
"Ceres-1","Galactic Energy","China","UNK","66,138","132,188","0.500332859261052","168,367"
"Dream Chaser","Sierra Nevada Corporation","United States","TBD","LEO","LEO","LEO","LEO"
"Electron","Rocket Lab","United States","$7.5 M","28,000","56,200","0.498220640569395","167,656"
"Falcon 9(Block 5)","SpaceX","United States","$67 M","1,210,000","1,910,000","0.633507853403141","213,182"
"Falcon Heavy(w/ StarShip)","SpaceX","United States","$97 M","3,130,000","5,310,000","0.589453860640301","198,357"
"Hyperbola-1","i-Space","China","UNK","74,956","92,593","0.809519489552149","272,411"
"LauncherOne","Virgin Orbit","United States","$12 M","60,000","78,500","0.764331210191083","257,205"
"New Shepard ","Blue Origin","United States","$250K","165,000","110,000","1.50","504,765"
"Soyuz-2","Roscosmos(via Space Adventures)","Russia","TBD","312,000","438,320","0.711808724219748","239,531"
"Spica ","Copenhagen Suborbitals","Denmark","Non-profit","8818","22,481","0.392242337974289","131,993"
"Vega","Arianespace(France)","Italy","$37 M","302,000","762,540","0.396044797649959","133,273"
"VSS Unity(SpaceShipTwo)","Virgin Galactic and The Spaceship Company","United States","$250K","LEO","LEO","LEO","LEO"
